lossFunc,nom1,nom2,success1,success2,alpha,numEpochs,delta
l2,base,cluster,0.78,0.78,1.0,500,0.01
l2,base,cluster,0.78,0.78,1.0,500,0.1
l2,base,cluster,0.78,0.78,1.0,500,1.0
l2,base,cluster,0.78,0.78,1.0,500,10.0
l2,base,cluster,0.78,0.78,1.0,500,100.0
l2,base,cluster,0.78,0.8,0.1,500,0.01
l2,base,cluster,0.78,0.8,0.1,500,0.1
l2,base,cluster,0.78,0.8,0.1,500,1.0
l2,base,cluster,0.78,0.8,0.1,500,10.0
l2,base,cluster,0.78,0.78,0.1,500,100.0
l2,base,cluster,0.76,0.8,0.01,500,0.01
l2,base,cluster,0.76,0.8,0.01,500,0.1
l2,base,cluster,0.76,0.8,0.01,500,1.0
l2,base,cluster,0.76,0.8,0.01,500,10.0
l2,base,cluster,0.76,0.78,0.01,500,100.0
l2,base,cluster,0.72,0.8,0.001,500,0.01
l2,base,cluster,0.72,0.8,0.001,500,0.1
l2,base,cluster,0.72,0.8,0.001,500,1.0
l2,base,cluster,0.72,0.8,0.001,500,10.0
l2,base,cluster,0.72,0.78,0.001,500,100.0
l2,base,cluster,0.78,0.78,0.0001,500,0.01
l2,base,cluster,0.78,0.78,0.0001,500,0.1
l2,base,cluster,0.78,0.78,0.0001,500,1.0
